treat_adult Average tube block
U 0.08459 U7 9
U 0.087563333 U7 9
U 0.083493333 U7 9
U 0.087393333 U7 9
U 0.083916667 U7 9
U 0.08531 U7 9
U 0.084813333 U7 9
U 0.087373333 U7 9
U 0.087323333 U7 9
U 0.0877 U7 9
U 0.086086667 U7 9
U 0.090123333 U7 9
U 0.088626667 U7 9
U 0.092476667 U8 9
U 0.092303333 U8 9
U 0.090236667 U8 9
U 0.095433333 U8 9
U 0.09179 U8 9
U 0.090773333 U8 9
U 0.102153333 U8 9
U 0.097493333 U8 9
U 0.090953333 U8 9
U 0.088846667 U8 9
U 0.095903333 U8 9
U 0.092266667 U8 9
U 0.093943333 U8 9
U 0.087993333 U8 9
U 0.091643333 U8 9
U 0.093116667 U8 9
U 0.091576667 U8 9
U 0.09183 U8 9
U 0.097316667 U8 9
U 0.093663333 U8 9
U 0.09148 U8 9
U 0.092633333 U8 9
U 0.089266667 U8 9
U 0.087943333 U8 9
U 0.089456667 U8 9
U 0.095016667 U8 9
U 0.095206667 U8 9
U 0.093533333 U8 9
U 0.08634 U8 9
U 0.092716667 U8 9
U 0.09278 U8 9
U 0.086483333 U8 9
U 0.09259 U8 9
U 0.090426667 U8 9
U 0.091193333 U8 9
U 0.091676667 U9 10
U 0.088556667 U9 10
U 0.08765 U9 10
U 0.082726667 U9 10
U 0.089616667 U9 10
U 0.08977 U9 10
U 0.08752 U9 10
U 0.090083333 U9 10
U 0.09124 U9 10
U 0.093043333 U9 10
U 0.09325 U9 10
U 0.09224 U9 10
U 0.08926 U9 10
U 0.089573333 U9 10
U 0.092116667 U9 10
U 0.08951 U9 10
U 0.08977 U9 10
U 0.089436667 U9 10
U 0.092896667 U9 10
U 0.08495 U9 10
U 0.08966 U9 10
U 0.094086667 U9 10
U 0.092613333 U9 10
U 0.09224 U9 10
U 0.08954 U9 10
U 0.089266667 U9 10
U 0.08363 U9 10
U 0.088376667 U9 10
U 0.091326667 U9 10
U 0.085516667 U9 10
U 0.089233333 U9 10
U 0.09248 U9 10
U 0.088733333 U9 10
U 0.088943333 U9 10
U 0.093573333 U9 10
U 0.089623333 U10 10
U 0.08867 U10 10
U 0.089536667 U10 10
U 0.088616667 U10 10
U 0.089743333 U10 10
U 0.085836667 U10 10
U 0.087173333 U10 10
U 0.084713333 U10 10
U 0.089023333 U10 10
U 0.089123333 U10 10
U 0.08839 U10 10
U 0.092953333 U10 10
U 0.089506667 U10 10
U 0.084816667 U10 10
U 0.088296667 U10 10
U 0.082586667 U10 10
U 0.089706667 U10 10
U 0.08706 U10 10
U 0.083523333 U10 10
U 0.092316667 U10 10
U 0.089636667 U10 10
U 0.092176667 U10 10
U 0.088473333 U10 10
U 0.088286667 U10 10
U 0.086896667 U10 10
U 0.0865 U10 10
U 0.083486667 U10 10
U 0.089386667 U10 10
U 0.091523333 U10 10
U 0.08975 U10 10
U 0.09022 U10 10
U 0.093873333 U10 10
U 0.090263333 U10 10
U 0.086593333 U10 10
U 0.088266667 U10 10
